,N_sim,tau,lam_,a,k,s_hmse.mean,c_hmse.mean,gc_hmse.mean,c_dix.mean
1,10000,5,"0.05,0.33,0.61",0.8,8,0.047916,0.056112,0.048023,0.1087
2,10000,10,"0.05,0.33,0.61",0.8,8,0.027452,0.038662,0.027588,0.1167
3,10000,5,"0.25,0.33,0.42",0.8,8,0.045344,0.048525,0.045435,0.0145
4,10000,10,"0.25,0.33,0.42",0.8,8,0.026924,0.031723,0.026993,0.0161
5,10000,5,"0.39,0.67,0.95",0.8,8,0.109319,0.143357,0.109535,0.0398
6,10000,10,"0.39,0.67,0.95",0.8,8,0.060181,0.102719,0.060429,0.0419
7,10000,5,"0.03,0.22,0.75",0.8,8,0.05018,0.059328,0.050344,0.1501
8,10000,10,"0.03,0.22,0.75",0.8,8,0.028407,0.040843,0.028525,0.1587
,,,,,,,,,
,,,,,,,,,
,,,,,,0.048,0.048,,
,,,,,,0.027,0.028,,
,,,,,,0.045,0.045,,
,,,,,,0.027,0.027,,
,,,,,,0.109,0.11,,
,,,,,,0.06,0.06,,
,,,,,,0.05,0.05,,
,,,,,,0.028,0.029,,
